Country,Lat,Long,Cases,Mag
Afghanistan,33.93911,67.709953,"36,368",1.212266667
Albania,41.153332,20.168331,4997,0.1665666667
Algeria,17.060816,-61.796428,27973,0.9324333333
Andorra,42.546245,1.601554,907,0.03023333333
Angola,11.2027,17.8739,950,0.03166666667
Antigua & Deps,17.0747,61.8175,86,0.002866666667
Argentina,-38.416097,-63.616672,167416,5.580533333
Armenia,40.069099,45.038189,37629,1.2543
Australia,-25.274398,133.775136,15304,0.5101333333
Austria,47.516231,14.550072,20677,0.6892333333
Azerbaijan,40.143105,47.576927,30858,1.0286
Bahamas,25.03428,-77.39628,382,0.01273333333
Bahrain,26.0667,50.5577,39482,1.316066667
Bangladesh,23.684994,90.356331,229185,7.6395
Barbados,13.193887,-59.543198,110,0.003666666667
Belarus,53.709807,27.953389,67366,2.245533333
Belgium,50.503887,4.469936,66428,2.214266667
Belize,17.189877,-88.49765,48,0.0016
Benin,9.30769,2.315834,1770,0.059
Bhutan,27.514162,90.433601,99,0.0033
Bolivia,-16.290154,-63.588653,71181,2.3727
Bosnia Herzegovina,43.915886,17.679076,10766,0.3588666667
Botswana,-22.328474,24.684866,739,0.02463333333
Brazil,-14.235004,-51.92528,2442375,81.4125
Brunei,4.535277,114.727669,141,0.0047
Bulgaria,42.733883,25.48583,10621,0.3540333333
Burkina,12.238333,-1.561593,1100,0.03666666667
Burundi,-3.373056,29.918886,378,0.0126
Cambodia,12.565679,104.990963,226,0.007533333333
Cameroon,7.369722,12.354722,17110,0.5703333333
Canada,56.130366,-106.346771,116471,3.882366667
Cape Verde,16.002082,-24.013197,2328,0.0776
Central African Rep,6.611111,20.939444,4599,0.1533
Chad,15.454166,18.732207,922,0.03073333333
Chile,-35.675147,-71.542969,347923,11.59743333
China,35.86166,104.195397,83959,2.798633333
Colombia,4.570868,-74.297333,257101,8.570033333
Comoros,-11.875001,43.872219,354,0.0118
Congo,-0.228021,15.827659,3200,0.1066666667
Congo {Democratic Rep},-4.038333,21.758664,8873,0.2957666667
Costa Rica,9.748917,-83.753428,15841,0.5280333333
Croatia,45.1,15.2,4923,0.1641
Cuba,21.521757,-77.781167,2555,0.08516666667
Cyprus,35.126413,33.429859,1060,0.03533333333
Czech Republic,49.817492,15.472962,15516,0.5172
Denmark,56.26392,9.501785,13577,0.4525666667
Djibouti,11.825138,42.590275,5059,0.1686333333
Dominica,15.414999,-61.370976,18,0.0006
Dominican Republic,18.735693,-70.162651,64156,2.138533333
Ecuador,-1.831239,-78.183406,81161,2.705366667
Egypt,26.820553,30.802498,92482,3.082733333
El Salvador,13.7942,88.8965,15446,0.5148666667
Equatorial Guinea,1.6508,10.2679,3071,0.1023666667
Eritrea,15.179384,39.782334,265,0.008833333333
Estonia,58.595272,25.013607,2038,0.06793333333
Ethiopia,9.145,40.489673,14547,0.4849
Fiji,-16.578193,179.414413,27,0.0009
Finland,61.92411,25.748151,7404,0.2468
France,46.227638,2.213749,208665,6.9555
Gabon,-0.803689,11.609444,7189,0.2396333333
Gambia,13.443182,-15.310139,326,0.01086666667
Georgia,42.315407,43.356892,1145,0.03816666667
Germany,51.1657,10.4515,207474,6.9158
Ghana,7.946527,-1.023194,33624,1.1208
Greece,39.074208,21.824312,4227,0.1409
Grenada,12.262776,-61.604171,23,0.0007666666667
Guatemala,15.783471,-90.230759,45309,1.5103
Guinea,9.945587,-9.696645,7055,0.2351666667
Guinea-Bissau,11.803749,-15.180413,1954,0.06513333333
Guyana,4.860416,-58.93018,389,0.01296666667
Haiti,18.971187,-72.285215,7340,0.2446666667
Honduras,15.199999,-86.241905,39741,1.3247
Hungary,47.162494,19.503304,4456,0.1485333333
Iceland,64.963051,-19.020835,1857,0.0619
India,20.593684,78.96288,1480073,49.33576667
Indonesia,-0.789275,113.921327,102051,3.4017
Iran,32.427908,53.688046,296273,9.875766667
Iraq,33.223191,43.679291,115332,3.8444
Ireland {Republic},53.41291,-8.24389,25892,0.8630666667
Israel,31.046051,34.851612,64649,2.154966667
Italy,41.87194,12.56738,246488,8.216266667
Ivory Coast,7.54,5.5471,15655,0.5218333333
Jamaica,18.109581,-77.297508,853,0.02843333333
Japan,36.204824,138.252924,32096,1.069866667
Jordan,30.585164,36.238414,1182,0.0394
Kazakhstan,48.019573,66.923684,84648,2.8216
Kenya,-0.023559,37.906193,17975,0.5991666667
Kiribati,-3.370417,-168.734039,0,0
Korea South,35.907757,127.766922,14203,0.4734333333
Kosovo,42.6026,20.903,7413,0.2471
Kuwait,29.31166,47.481766,65149,2.171633333
Kyrgyzstan,41.20438,74.766098,33718,1.123933333
Laos,19.85627,102.495496,20,0.0006666666667
Latvia,56.879635,24.603189,1220,0.04066666667
Lebanon,33.854721,35.862285,3882,0.1294
Lesotho,-29.609988,28.233608,505,0.01683333333
Liberia,6.428055,-9.429499,1167,0.0389
Libya,26.3351,17.228331,2827,0.09423333333
Liechtenstein,47.166,9.555373,86,0.002866666667
